ID,Titre,Catégorie,Précisions,,,
650,Carpeaux. Collection Des mains pour créer,143, 6=Paris Musées Editions, 12=Relié, 13=Français,
651,Livre d'art pour enfant - Carriès. Collection Des mains pour créer,143, 6=Paris Musées Editions, 12=Relié, 13=Français,
653,Le livre des contraires - Noir ? Blanc ? Jour ? Nuit ?,143, 12=Ouvrage broché, 13=Français,,
654,Toute beauté est singulière. Peintres chinois à la Voie excentrique,119, 6=Editions Phébus, 12=Relié, 13=Français,
655,Arpad Szenes. Catalogue raisonné,141, 6=Skira, 12=Relié, 13=Français,
656,Pissarro. Catalogue critique des peintures,125, 12=Relié 3 volumes sous coffret, 13=Français, 28=Oui,
658,Splendeurs de Dresde. La cour de Saxe à Versailles,135, 6=RMN, 13=Français,,
662,Juste un détail,143, 6=Coédition Seuil  Musée d'Orsay, 12=Broché, 13=Français,
5436,Catalogue d'exposition 1925 quand l'Art déco séduit le monde (Edition reliée),216, 12=Ouvrage  relié, 13=Français, 28=Oui,
668,Les Van Blarenberghe des reporters au XIIIe siècle,216, 6=Exhibitions, 12=Broché, 13=Français,
669,La Fabrique du Dessin,144, 6=ENSBA, 12=Broché, 13=Français,
671,Ingres. Ce révolutionnaire là,171, 6=Gallimard, 12=Poche, 13=Français,
672,Les pierres tombales médiévales. Sculptures de l'au-delà,178, 6=Desclée de Brouwer, 12=Broché, 13=Français,
673,L'art entre nuit et jour,143, 6=RMN, 12=Broché, 13=Français,
674,La grande Odalisque,125, 6=RMN, 12=Broché, 13=Français,
675,Le Grand Cours d'anatomie artistique,122, 6=Könemann, 13=Français,,
1400,Le grand atelier - Chemins de l'art en Europe (Ve-XVIIIe siècles),160, 13=Français,,,
684,Lumières ! Un héritage pour demain,137, 6=BNF, 12=Broché, 13=Français,
1406,La Nature morte ou La place des choses - L'objet et son lieu dans l'art occidental,137, 12=Ouvrage relié, 13=Français,,
688,Carnet d'études ENSBA n°4 - Dessins italiens de la collection Jean Bonna,133, 6=ENSBA, 12=Broché, 13=Français,
690,L'Anatomie chez Michel-Ange. De la réalité à l'idéalité,133, 6=Hermann, 12=Broché, 13=Français,
692,Suite française. Dessins de la collection Jean Bonna,133, 6=ENSBA, 12=Broché, 13=Français,
693,Ingres. La réforme des principes : 1806-1834,125, 6=Fage Editions, 12=Broché, 13=Français,
696,Picasso - Dora Maar (1935-1945),141, 6=Flammarion, 12=Broché, 13=Français,
697,Histoire d'un musée. Le musée des Beaux-Arts de Lyon,146, 6=Fage Editions, 12=Relié, 13=Français,
698,La Société des Amis des Arts (1789-1798). Un mécénat patriotique sous la Révolution,124, 6=ENSBA, 13=Français,,
699,Enluminures médiévales,128, 6=BNF, 12=Broché, 13=Français,
701,Ingres,125, 6=Editions 5 Continents, 12=Broché, 13=Français,
706,Ingres. Lettres à Gilibert. Edition établie présentée et annotée par Daniel et Marie-Jeanne Ternois,124, 6=Champion, 12=Relié, 13=Français,
707,Miguel Egana. Dessins,142, 6=Editions du Panama, 12=Broché, 13=Français,
708,Charles-Frédéric Soehnée 1789-1878. Voyage en Enfer,125, 6=Coédition Galerie J.M. Le Fell / Gallimard, 12=Broché, 13=Français,
709,Etudes cézanniennes,155, 6=Flammarion, 12=Relié, 13=Français,
711,La Peinture dans les musées de Venise,146, 6=Editions Mengès, 12=Relié, 13=Français,
712,Jean-Pierre Péquignot (1765-1807),174, 6=Artema, 12=Relié, 13=Français, 28=Oui
3043,Informatique libertés identités,222, 12=Ouvrage broché, 13=Français,,
715,Catalogue raisonné des peintures italiennes du XVIIe siècle au musée du Louvre,160, 6=Gallimard, 12=Ouvrage  relié, 13=Français,
718,Le Jardin d'Eden. Iconographie et topographie dans la gravure (XVe-XVIIIe siècles),121, 6=Université de Dijon, 12=Broché, 13=Français,
720,Peintres et doreurs en Roussillon au XVIIe et XVIIIe siècles,124, 6=Trabucaire, 12=Broché, 13=Français,
722,Italia Nova. Une aventure de l'art italien (1900-1950),141, 6=RMN, 12=Broché, 13=Français,
727,Histoire de l'art d'Ernst Gombrich (édition brochée),129, 6=Phaïdon, 12=Broché, 13=Français,
730,Du dessin au vitrail,126, 6=Palais des Beaux, 12=Broché, 13=Français,
734,Daniel Dumonstier (1574-1646),133, 6=Arthena, 12=Relié, 13=Français,
737,Architecture un art nécessaire,134, 6=Patrimoine, 12=Broché, 13=Français,
741,Rembrandt. Les dessins de Dresde,133, 6=Fondation Custodia, 12=Relié, 13=Français,
743,L'Âme de l'Afrique. Masques et sculptures,149, 6=L'Amateur, 12=Broché, 13=Français,
744,Gothic Nightmares: Fuseli Blake And the Romantic Imagination,230, 6=Tate Publishing, 12=Broché, 13=Anglais,
746,Arts primitifs regards civilisés,137, 6=ENSBA, 12=Broché, 13=Français,
749,Fastes du pouvoir objets d'exception XVIIIe-XIXe siècles,135, 6=RMN, 12=Broché, 13=Français,
750,Philippe Jacquin-Ravot de l'usage des images,144, 6=Fage, 12=Broché, 13=Français,
751,Les catalogues des Salons - Tome XIII (1881-1883),124, 6=Echelle de Jacob, 12=Broché, 13=Français,
